surrogate,recipe,source,source_successful,target_original_benign,target_original_injection,target_perturbed_benign,true_target_flips,conditional_target_benign_rate,true_target_flip_rate
bilstm-attention,pwws,deepset/prompt-injections,10,3,7,4,1,0.4,0.14285714285714285
bilstm-attention,pwws,jackhhao/jailbreak-classification,34,6,28,6,0,0.17647058823529413,0.0
bilstm-attention,textfooler,Lakera/gandalf_ignore_instructions,92,0,92,4,4,0.043478260869565216,0.043478260869565216
bilstm-attention,textfooler,deepset/prompt-injections,15,7,8,8,1,0.5333333333333333,0.125
bilstm-attention,textfooler,jackhhao/jailbreak-classification,51,8,43,6,0,0.11764705882352941,0.0
deberta-base-ft-seed,bae,Lakera/gandalf_ignore_instructions,55,0,55,36,36,0.6545454545454545,0.6545454545454545
deberta-base-ft-seed,bae,deepset/prompt-injections,14,10,4,12,3,0.8571428571428571,0.75
deberta-base-ft-seed,bae,jackhhao/jailbreak-classification,1,0,1,0,0,0.0,0.0
deberta-base-ft-seed,bert-attack,Lakera/gandalf_ignore_instructions,60,0,60,31,31,0.5166666666666667,0.5166666666666667
deberta-base-ft-seed,bert-attack,deepset/prompt-injections,22,14,8,20,6,0.9090909090909091,0.75
deberta-base-ft-seed,bert-attack,jackhhao/jailbreak-classification,13,3,10,9,6,0.6923076923076923,0.6
deberta-base-ft-seed,deepwordbug,Lakera/gandalf_ignore_instructions,23,0,23,8,8,0.34782608695652173,0.34782608695652173
deberta-base-ft-seed,deepwordbug,deepset/prompt-injections,14,10,4,13,3,0.9285714285714286,0.75
deberta-base-ft-seed,deepwordbug,jackhhao/jailbreak-classification,1,0,1,0,0,0.0,0.0
deberta-base-ft-seed,pwws,Lakera/gandalf_ignore_instructions,29,0,29,20,20,0.6896551724137931,0.6896551724137931
deberta-base-ft-seed,pwws,deepset/prompt-injections,11,8,3,9,1,0.8181818181818182,0.3333333333333333
deberta-base-ft-seed,pwws,jackhhao/jailbreak-classification,2,1,1,1,0,0.5,0.0
deberta-base-ft-seed,textfooler,Lakera/gandalf_ignore_instructions,39,0,39,22,22,0.5641025641025641,0.5641025641025641
deberta-base-ft-seed,textfooler,deepset/prompt-injections,17,12,5,15,3,0.8823529411764706,0.6
deberta-base-ft-seed,textfooler,jackhhao/jailbreak-classification,4,1,3,2,1,0.5,0.3333333333333333
deberta-base-pi-v1,bae,Lakera/gandalf_ignore_instructions,45,0,45,21,21,0.4666666666666667,0.4666666666666667
deberta-base-pi-v1,bae,deepset/prompt-injections,8,1,7,2,1,0.25,0.14285714285714285
deberta-base-pi-v1,bae,jackhhao/jailbreak-classification,9,3,6,3,0,0.3333333333333333,0.0
deberta-base-pi-v1,bert-attack,Lakera/gandalf_ignore_instructions,57,0,57,15,15,0.2631578947368421,0.2631578947368421
deberta-base-pi-v1,bert-attack,deepset/prompt-injections,9,1,8,4,3,0.4444444444444444,0.375
deberta-base-pi-v1,bert-attack,jackhhao/jailbreak-classification,17,3,14,3,0,0.17647058823529413,0.0
deberta-base-pi-v1,deepwordbug,Lakera/gandalf_ignore_instructions,32,0,32,7,7,0.21875,0.21875
deberta-base-pi-v1,deepwordbug,deepset/prompt-injections,8,1,7,3,2,0.375,0.2857142857142857
deberta-base-pi-v1,deepwordbug,jackhhao/jailbreak-classification,8,3,5,3,0,0.375,0.0
deberta-base-pi-v1,pwws,Lakera/gandalf_ignore_instructions,51,0,51,22,22,0.43137254901960786,0.43137254901960786
deberta-base-pi-v1,pwws,deepset/prompt-injections,8,1,7,5,4,0.625,0.5714285714285714
deberta-base-pi-v1,pwws,jackhhao/jailbreak-classification,13,3,10,5,2,0.38461538461538464,0.2
deberta-base-pi-v1,textfooler,Lakera/gandalf_ignore_instructions,38,0,38,12,12,0.3157894736842105,0.3157894736842105
deberta-base-pi-v1,textfooler,deepset/prompt-injections,8,1,7,3,2,0.375,0.2857142857142857
deberta-base-pi-v1,textfooler,jackhhao/jailbreak-classification,9,3,6,3,0,0.3333333333333333,0.0
deberta-small-pi-v2,bae,Lakera/gandalf_ignore_instructions,77,0,77,54,54,0.7012987012987013,0.7012987012987013
deberta-small-pi-v2,bae,deepset/prompt-injections,12,2,10,5,3,0.4166666666666667,0.3
deberta-small-pi-v2,bae,jackhhao/jailbreak-classification,50,0,50,4,4,0.08,0.08
deberta-small-pi-v2,bert-attack,Lakera/gandalf_ignore_instructions,87,0,87,41,41,0.47126436781609193,0.47126436781609193
deberta-small-pi-v2,bert-attack,deepset/prompt-injections,14,2,12,8,6,0.5714285714285714,0.5
deberta-small-pi-v2,bert-attack,jackhhao/jailbreak-classification,51,0,51,1,1,0.0196078431372549,0.0196078431372549
deberta-small-pi-v2,deepwordbug,Lakera/gandalf_ignore_instructions,53,0,53,13,13,0.24528301886792453,0.24528301886792453
deberta-small-pi-v2,deepwordbug,deepset/prompt-injections,11,2,9,7,5,0.6363636363636364,0.5555555555555556
deberta-small-pi-v2,deepwordbug,jackhhao/jailbreak-classification,31,0,31,0,0,0.0,0.0
deberta-small-pi-v2,pwws,Lakera/gandalf_ignore_instructions,77,0,77,47,47,0.6103896103896104,0.6103896103896104
deberta-small-pi-v2,pwws,deepset/prompt-injections,9,1,8,5,4,0.5555555555555556,0.5
deberta-small-pi-v2,pwws,jackhhao/jailbreak-classification,51,0,51,1,1,0.0196078431372549,0.0196078431372549
deberta-small-pi-v2,textfooler,Lakera/gandalf_ignore_instructions,66,0,66,33,33,0.5,0.5
deberta-small-pi-v2,textfooler,deepset/prompt-injections,12,2,10,5,3,0.4166666666666667,0.3
deberta-small-pi-v2,textfooler,jackhhao/jailbreak-classification,51,0,51,2,2,0.0392156862745098,0.0392156862745098
deepset-deberta-injection,bae,Lakera/gandalf_ignore_instructions,39,0,39,26,26,0.6666666666666666,0.6666666666666666
deepset-deberta-injection,bae,deepset/prompt-injections,5,2,3,4,2,0.8,0.6666666666666666
deepset-deberta-injection,bert-attack,Lakera/gandalf_ignore_instructions,33,0,33,13,13,0.3939393939393939,0.3939393939393939
deepset-deberta-injection,bert-attack,deepset/prompt-injections,7,4,3,7,3,1.0,1.0
deepset-deberta-injection,deepwordbug,Lakera/gandalf_ignore_instructions,6,0,6,2,2,0.3333333333333333,0.3333333333333333
deepset-deberta-injection,pwws,Lakera/gandalf_ignore_instructions,11,0,11,9,9,0.8181818181818182,0.8181818181818182
deepset-deberta-injection,textfooler,Lakera/gandalf_ignore_instructions,28,0,28,11,11,0.39285714285714285,0.39285714285714285
deepset-deberta-injection,textfooler,deepset/prompt-injections,3,2,1,3,1,1.0,1.0
electra-small-ft,bae,Lakera/gandalf_ignore_instructions,38,0,38,33,33,0.868421052631579,0.868421052631579
electra-small-ft,bae,deepset/prompt-injections,12,4,8,7,3,0.5833333333333334,0.375
electra-small-ft,bae,jackhhao/jailbreak-classification,4,2,2,2,0,0.5,0.0
electra-small-ft,bert-attack,Lakera/gandalf_ignore_instructions,33,0,33,19,19,0.5757575757575758,0.5757575757575758
electra-small-ft,bert-attack,deepset/prompt-injections,15,6,9,9,3,0.6,0.3333333333333333
electra-small-ft,bert-attack,jackhhao/jailbreak-classification,18,5,13,11,6,0.6111111111111112,0.46153846153846156
electra-small-ft,deepwordbug,Lakera/gandalf_ignore_instructions,31,0,31,7,7,0.22580645161290322,0.22580645161290322
electra-small-ft,deepwordbug,deepset/prompt-injections,14,6,8,5,0,0.35714285714285715,0.0
electra-small-ft,deepwordbug,jackhhao/jailbreak-classification,1,1,0,1,0,1.0,
electra-small-ft,pwws,Lakera/gandalf_ignore_instructions,40,0,40,20,20,0.5,0.5
electra-small-ft,pwws,deepset/prompt-injections,9,4,5,6,2,0.6666666666666666,0.4
electra-small-ft,pwws,jackhhao/jailbreak-classification,4,2,2,2,0,0.5,0.0
electra-small-ft,textfooler,Lakera/gandalf_ignore_instructions,35,0,35,18,18,0.5142857142857142,0.5142857142857142
electra-small-ft,textfooler,deepset/prompt-injections,14,6,8,9,3,0.6428571428571429,0.375
electra-small-ft,textfooler,jackhhao/jailbreak-classification,10,4,6,5,1,0.5,0.16666666666666666
llama-prompt-guard-22m,bae,Lakera/gandalf_ignore_instructions,79,0,79,4,4,0.05063291139240506,0.05063291139240506
llama-prompt-guard-22m,bae,deepset/prompt-injections,3,0,3,1,1,0.3333333333333333,0.3333333333333333
llama-prompt-guard-22m,bae,jackhhao/jailbreak-classification,43,2,41,2,0,0.046511627906976744,0.0
llama-prompt-guard-22m,bert-attack,Lakera/gandalf_ignore_instructions,79,0,79,1,1,0.012658227848101266,0.012658227848101266
llama-prompt-guard-22m,bert-attack,deepset/prompt-injections,3,0,3,0,0,0.0,0.0
llama-prompt-guard-22m,bert-attack,jackhhao/jailbreak-classification,47,3,44,3,0,0.06382978723404255,0.0
llama-prompt-guard-22m,deepwordbug,Lakera/gandalf_ignore_instructions,79,0,79,1,1,0.012658227848101266,0.012658227848101266
llama-prompt-guard-22m,deepwordbug,deepset/prompt-injections,3,0,3,1,1,0.3333333333333333,0.3333333333333333
llama-prompt-guard-22m,deepwordbug,jackhhao/jailbreak-classification,35,3,32,3,0,0.08571428571428572,0.0
llama-prompt-guard-22m,pwws,Lakera/gandalf_ignore_instructions,78,0,78,5,5,0.0641025641025641,0.0641025641025641
llama-prompt-guard-22m,pwws,deepset/prompt-injections,3,0,3,0,0,0.0,0.0
llama-prompt-guard-22m,pwws,jackhhao/jailbreak-classification,45,3,42,3,0,0.06666666666666667,0.0
llama-prompt-guard-22m,textfooler,Lakera/gandalf_ignore_instructions,79,0,79,3,3,0.0379746835443038,0.0379746835443038
llama-prompt-guard-22m,textfooler,deepset/prompt-injections,3,0,3,1,1,0.3333333333333333,0.3333333333333333
llama-prompt-guard-22m,textfooler,jackhhao/jailbreak-classification,47,3,44,4,1,0.0851063829787234,0.022727272727272728
llama-prompt-guard-86m,bae,Lakera/gandalf_ignore_instructions,88,0,88,14,14,0.1590909090909091,0.1590909090909091
llama-prompt-guard-86m,bae,deepset/prompt-injections,8,1,7,3,2,0.375,0.2857142857142857
llama-prompt-guard-86m,bae,jackhhao/jailbreak-classification,8,1,7,2,1,0.25,0.14285714285714285
llama-prompt-guard-86m,bert-attack,Lakera/gandalf_ignore_instructions,98,0,98,8,8,0.08163265306122448,0.08163265306122448
llama-prompt-guard-86m,bert-attack,deepset/prompt-injections,8,1,7,2,1,0.25,0.14285714285714285
llama-prompt-guard-86m,bert-attack,jackhhao/jailbreak-classification,55,6,49,14,8,0.2545454545454545,0.16326530612244897
llama-prompt-guard-86m,deepwordbug,Lakera/gandalf_ignore_instructions,73,0,73,7,7,0.0958904109589041,0.0958904109589041
llama-prompt-guard-86m,deepwordbug,deepset/prompt-injections,7,1,6,1,0,0.14285714285714285,0.0
llama-prompt-guard-86m,deepwordbug,jackhhao/jailbreak-classification,5,0,5,1,1,0.2,0.2
llama-prompt-guard-86m,pwws,Lakera/gandalf_ignore_instructions,96,0,96,23,23,0.23958333333333334,0.23958333333333334
llama-prompt-guard-86m,pwws,deepset/prompt-injections,7,1,6,1,0,0.14285714285714285,0.0
llama-prompt-guard-86m,pwws,jackhhao/jailbreak-classification,18,3,15,6,3,0.3333333333333333,0.2
llama-prompt-guard-86m,textfooler,Lakera/gandalf_ignore_instructions,85,0,85,9,9,0.10588235294117647,0.10588235294117647
llama-prompt-guard-86m,textfooler,deepset/prompt-injections,8,1,7,4,3,0.5,0.42857142857142855
llama-prompt-guard-86m,textfooler,jackhhao/jailbreak-classification,32,5,27,12,7,0.375,0.25925925925925924
roberta-base-ft,bae,Lakera/gandalf_ignore_instructions,70,0,70,47,47,0.6714285714285714,0.6714285714285714
roberta-base-ft,bae,deepset/prompt-injections,16,10,6,15,5,0.9375,0.8333333333333334
roberta-base-ft,bae,jackhhao/jailbreak-classification,4,1,3,2,1,0.5,0.3333333333333333
roberta-base-ft,bert-attack,Lakera/gandalf_ignore_instructions,64,0,64,22,22,0.34375,0.34375
roberta-base-ft,bert-attack,deepset/prompt-injections,20,12,8,15,3,0.75,0.375
roberta-base-ft,bert-attack,jackhhao/jailbreak-classification,33,6,27,18,12,0.5454545454545454,0.4444444444444444
roberta-base-ft,deepwordbug,Lakera/gandalf_ignore_instructions,11,0,11,5,5,0.45454545454545453,0.45454545454545453
roberta-base-ft,deepwordbug,deepset/prompt-injections,12,8,4,10,2,0.8333333333333334,0.5
roberta-base-ft,pwws,Lakera/gandalf_ignore_instructions,51,0,51,23,23,0.45098039215686275,0.45098039215686275
roberta-base-ft,pwws,deepset/prompt-injections,12,7,5,10,3,0.8333333333333334,0.6
roberta-base-ft,pwws,jackhhao/jailbreak-classification,13,4,9,5,1,0.38461538461538464,0.1111111111111111
roberta-base-ft,textfooler,Lakera/gandalf_ignore_instructions,72,0,72,23,23,0.3194444444444444,0.3194444444444444
roberta-base-ft,textfooler,deepset/prompt-injections,19,11,8,13,2,0.6842105263157895,0.25
roberta-base-ft,textfooler,jackhhao/jailbreak-classification,21,6,15,6,1,0.2857142857142857,0.06666666666666667
